compound_name,pubchem_cid,smiles,family,source,is_mida
CID_207,207,NC(CCCC=O)C(=O)O,Triazines,classification_hnid_4400160,False
CID_208,208,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O,Triazines,classification_hnid_4400160,False
CID_66,66,Oc1cc(Cl)ccc1Cl,Azole_fungicides,classification_hnid_4400154,False
CID_144,144,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,Azole_fungicides,classification_hnid_4400154,False
CID_178,178,CC(N)=O,Azole_fungicides,classification_hnid_4400154,False
CID_196,196,O=C(O)CCCCC(=O)O,Azole_fungicides,classification_hnid_4400154,False
CID_198,198,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Azole_fungicides,classification_hnid_4400154,False
CID_241,241,c1ccccc1,Azole_fungicides,classification_hnid_4400154,False
CID_253,253,O=C(O)CCCCC1SCC2NC(=O)NC21,Azole_fungicides,classification_hnid_4400154,False
CID_262,262,CC(O)C(C)O,Azole_fungicides,classification_hnid_4400154,False
CID_263,263,CCCCO,Azole_fungicides,classification_hnid_4400154,False
CID_281,281,[C-]#[O+],Azole_fungicides,classification_hnid_4400154,False
CID_288,288,C[N+](C)(C)CC(O)CC(=O)[O-],Azole_fungicides,classification_hnid_4400154,False
CID_294,294,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,Azole_fungicides,classification_hnid_4400154,False
CID_300,300,O=C(O)CCl,Azole_fungicides,classification_hnid_4400154,False
CID_303,303,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,Azole_fungicides,classification_hnid_4400154,False
CID_305,305,C[N+](C)(C)CCO,Azole_fungicides,classification_hnid_4400154,False
CID_311,311,O=C(O)CC(O)(CC(=O)O)C(=O)O,Azole_fungicides,classification_hnid_4400154,False
CID_312,312,[Cl-],Azole_fungicides,classification_hnid_4400154,False
CID_356,356,CCCCCCCC,Azole_fungicides,classification_hnid_4400154,False
CID_359,359,Oc1cc(O)cc(O)c1,Azole_fungicides,classification_hnid_4400154,False
CID_370,370,O=C(O)c1cc(O)c(O)c(O)c1,Azole_fungicides,classification_hnid_4400154,False
CID_260,260,Br,Pyrethroids,classification_hnid_4500164,False
CID_338,338,O=C(O)c1ccccc1O,Pyrethroids,classification_hnid_4500164,False
CID_453,453,OCC(O)C(O)C(O)C(O)CO,Pyrethroids,classification_hnid_4500164,False
CID_700,700,NCCO,Pyrethroids,classification_hnid_4500164,False
CID_702,702,CCO,Pyrethroids,classification_hnid_4500164,False
CID_712,712,C=O,Pyrethroids,classification_hnid_4500164,False
CID_727,727,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,Pyrethroids,classification_hnid_4500164,False
CID_753,753,OCC(O)CO,Pyrethroids,classification_hnid_4500164,False
CID_756,756,O=CCO,Pyrethroids,classification_hnid_4500164,False
CID_767,767,O=C(O)O,Pyrethroids,classification_hnid_4500164,False
CID_783,783,[HH],Pyrethroids,classification_hnid_4500164,False
CID_784,784,OO,Pyrethroids,classification_hnid_4500164,False
CID_787,787,NO,Pyrethroids,classification_hnid_4500164,False
CID_887,887,CO,Pyrethroids,classification_hnid_4500164,False
CID_892,892,OC1C(O)C(O)C(O)C(O)C1O,Pyrethroids,classification_hnid_4500164,False
CID_935,935,[Ni],Pyrethroids,classification_hnid_4500164,False
CID_945,945,N=O,Pyrethroids,classification_hnid_4500164,False
CID_947,947,N#N,Pyrethroids,classification_hnid_4500164,False
CID_962,962,O,Pyrethroids,classification_hnid_4500164,False
CID_977,977,O=O,Pyrethroids,classification_hnid_4500164,False
CID_992,992,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Pyrethroids,classification_hnid_4500164,False
CID_996,996,Oc1ccccc1,Pyrethroids,classification_hnid_4500164,False
CID_1004,1004,O=P(O)(O)O,Pyrethroids,classification_hnid_4500164,False
CID_1023,1023,O=P(O)(O)OP(=O)(O)O,Pyrethroids,classification_hnid_4500164,False
CID_1030,1030,CC(O)CO,Pyrethroids,classification_hnid_4500164,False
CID_1031,1031,CCCO,Pyrethroids,classification_hnid_4500164,False
CID_1065,1065,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,Pyrethroids,classification_hnid_4500164,False
CID_1070,1070,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,Pyrethroids,classification_hnid_4500164,False
CID_1084,1084,O=S([O-])([O-])=S,Pyrethroids,classification_hnid_4500164,False
CID_1110,1110,O=C(O)CCC(=O)O,Pyrethroids,classification_hnid_4500164,False
CID_1118,1118,O=S(=O)(O)O,Pyrethroids,classification_hnid_4500164,False
CID_1130,1130,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,Pyrethroids,classification_hnid_4500164,False
CID_1140,1140,Cc1ccccc1,Pyrethroids,classification_hnid_4500164,False
CID_1143,1143,OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Pyrethroids,classification_hnid_4500164,False
CID_1176,1176,NC(N)=O,Pyrethroids,classification_hnid_4500164,False
CID_1326,1326,Cn1c(=O)c2ncn(C)c2n(C)c1=O,Pyrethroids,classification_hnid_4500164,False
CID_1474,1474,c1ccc(-c2ccccn2)nc1,Pyrethroids,classification_hnid_4500164,False
CID_1982,1982,COP(=O)(NC(C)=O)SC,Pyrethroids,classification_hnid_4500164,False
CID_34,34,OCCCl,Herbicides,classification_hnid_4500088,False
