compound_name,pubchem_cid,smiles,family,chembl_id,match_method,match_status,n_candidates,chembl_pref_name
CID_262,262,CC(O)C(C)O,Azole_fungicides,CHEMBL2312529,sqlite_smiles,ok,1,
CID_263,263,CCCCO,Azole_fungicides,CHEMBL14245,sqlite_smiles,ok,1,BUTYL ALCOHOL
CID_281,281,[C-]#[O+],Azole_fungicides,CHEMBL1231840,sqlite_smiles,ok,1,CARBON MONOXIDE
CID_288,288,C[N+](C)(C)CC(O)CC(=O)[O-],Azole_fungicides,CHEMBL172513,sqlite_smiles,ok,1,CARNITINE
CID_294,294,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,Azole_fungicides,,,not_found,0,
CID_300,300,O=C(O)CCl,Azole_fungicides,CHEMBL14090,sqlite_smiles,ok,1,CHLOROACETIC ACID
CID_303,303,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,Azole_fungicides,,,not_found,0,
CID_305,305,C[N+](C)(C)CCO,Azole_fungicides,CHEMBL920,sqlite_smiles,ok,1,CHOLINE
CID_311,311,O=C(O)CC(O)(CC(=O)O)C(=O)O,Azole_fungicides,CHEMBL1261,sqlite_smiles,ok,1,CITRIC ACID
CID_312,312,[Cl-],Azole_fungicides,,,not_found,0,
CID_356,356,CCCCCCCC,Azole_fungicides,CHEMBL134886,sqlite_smiles,ok,1,OCTANE
CID_359,359,Oc1cc(O)cc(O)c1,Azole_fungicides,CHEMBL473159,sqlite_smiles,ok,1,PHLOROGLUCINOL
CID_370,370,O=C(O)c1cc(O)c(O)c(O)c1,Azole_fungicides,CHEMBL288114,sqlite_smiles,ok,1,GALLIC ACID
CID_260,260,Br,Pyrethroids,CHEMBL1231461,sqlite_smiles,ok,1,BROMIDE
CID_338,338,O=C(O)c1ccccc1O,Pyrethroids,CHEMBL424,sqlite_smiles,ok,1,SALICYLIC ACID
CID_453,453,OCC(O)C(O)C(O)C(O)CO,Pyrethroids,,,not_found,0,
CID_700,700,NCCO,Pyrethroids,CHEMBL104943,sqlite_smiles,ok,1,MONOETHANOLAMINE
CID_702,702,CCO,Pyrethroids,CHEMBL545,sqlite_smiles,ok,1,ALCOHOL
CID_712,712,C=O,Pyrethroids,CHEMBL1255,sqlite_smiles,ok,1,FORMALDEHYDE
CID_727,727,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,Pyrethroids,CHEMBL1200921,sqlite_smiles,ok,1,
CID_753,753,OCC(O)CO,Pyrethroids,CHEMBL692,sqlite_smiles,ok,1,GLYCERIN
CID_756,756,O=CCO,Pyrethroids,CHEMBL3884509,sqlite_smiles,ok,1,
CID_767,767,O=C(O)O,Pyrethroids,CHEMBL1161632,sqlite_smiles,ok,1,BICARBONATE
CID_783,783,[HH],Pyrethroids,,,not_found,0,
CID_784,784,OO,Pyrethroids,CHEMBL71595,sqlite_smiles,ok,1,HYDROGEN PEROXIDE
CID_787,787,NO,Pyrethroids,CHEMBL1191361,sqlite_smiles,ok,1,HYDROXYAMINE
