chembl_id,compound_name,family,smiles,n_activities_total,n_censored,mw_freebase,alogp,psa,hba,hbd,aromatic_rings,rtb,num_ro5_violations,heavy_atoms,pchembl_median_binding,pchembl_std_binding,pchembl_iqr_binding,n_activities_binding,target_inestable,reliability_tier,pct_active,pct_active_note,mixed_endpoint_class,endpoint_types_seen,has_quantitative_potency,cluster
CHEMBL14060,CID_996,Pyrethroids,Oc1ccccc1,106,55,94.11,1.39,20.23,1,1,1,0,0,7,4.75,0.323893425712088,0.1100000000000003,41,False,alto,0.0,derivado de pchembl >= 6 (no independiente),True,EC50|IC50|Inhibition|Kd|Ki|LC50|LD50|Potency,True,1
CHEMBL14173,CID_227,Organophosphates,Nc1ccccc1C(=O)O,16,9,137.14,0.97,63.32,2,2,1,1,0,10,4.895,1.2979483810999572,0.8574999999999999,6,True,medio,0.1666666666666666,derivado de pchembl >= 6 (no independiente),True,IC50|MIC|Potency,True,1
CHEMBL14193,CID_126,Triazines,O=Cc1ccc(O)cc1,69,25,122.12,1.2,37.3,2,1,1,1,0,9,5.04,0.31691143422549,0.2599999999999998,21,False,alto,0.0,derivado de pchembl >= 6 (no independiente),True,EC50|IC50|Inhibition|LD50|MIC,True,1
CHEMBL14227,CID_264,Carbamates,CCCC(=O)O,39,12,88.11,0.87,37.3,1,1,0,2,0,6,4.89,0.2352259026902493,0.0,23,False,alto,0.0,derivado de pchembl >= 6 (no independiente),True,EC50|ED50|IC50|Inhibition|Ki|LD50,True,1
CHEMBL14245,CID_263,Azole_fungicides,CCCCO,11,2,74.12,0.78,20.23,1,1,0,2,0,5,5.0,1.2641579165971464,0.4000000000000003,7,True,medio,0.1428571428571428,derivado de pchembl >= 6 (no independiente),True,EC50|GI50|Ki|LC50|Potency,True,1
CHEMBL14253,CID_180,Triazines,CC(C)=O,10,3,58.08,0.6,17.07,1,0,0,0,0,4,5.08,1.0864007854685431,0.6799999999999997,4,True,medio,0.25,derivado de pchembl >= 6 (no independiente),True,EC50|IC50|Ki|LC50|MIC|Potency,True,1
CHEMBL144103,CID_61,Triazines,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O,3,0,266.04,-1.34,170.82,5,5,0,6,0,15,5.04,0.0,0.0,3,False,medio,0.0,derivado de pchembl >= 6 (no independiente),False,EC50|Ki,True,0
CHEMBL14687,CID_1031,Pyrethroids,CCCO,5,0,60.1,0.39,20.23,1,1,0,1,0,4,4.75,0.0,0.0,3,False,medio,0.0,derivado de pchembl >= 6 (no independiente),True,EC50|GI50|LC50,True,1
CHEMBL14688,CID_887,Pyrethroids,CO,7,1,32.04,-0.39,20.23,1,1,0,0,0,2,4.75,0.6298809411309413,1.1500000000000004,5,False,medio,0.0,derivado de pchembl >= 6 (no independiente),True,EC50|GI50|Potency,True,1
CHEMBL15063,Atrazine,mixed,CCNc1nc(Cl)nc(NC(C)C)n1,34,14,215.69,1.78,62.73,5,2,1,4,0,14,6.29,0.9675468693786596,1.5862500000000006,10,False,alto,0.6,derivado de pchembl >= 6 (no independiente),False,IC50|Inhibition|Potency,True,0
CHEMBL1517425,CID_1988,Herbicides,CCOCN(C(=O)CCl)c1c(C)cccc1CC,84,44,269.77,3.12,29.54,2,0,1,6,0,18,4.3,0.4240460803216211,0.0374999999999996,38,False,alto,0.0,derivado de pchembl >= 6 (no independiente),False,IC50|Inhibition|Potency,True,1
CHEMBL1547,CID_1130,Pyrethroids,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,51,34,265.36,0.61,75.91,5,2,2,4,0,18,5.17,2.0734534214467155,3.317500000000001,12,True,alto,0.4166666666666667,derivado de pchembl >= 6 (no independiente),False,IC50|Inhibition|Kd|Ki,True,0
CHEMBL1565192,CID_66,Azole_fungicides,Oc1cc(Cl)ccc1Cl,11,4,163.0,2.7,20.23,1,1,1,0,0,9,4.5,0.3091847960285855,0.2750000000000003,7,False,medio,0.0,derivado de pchembl >= 6 (no independiente),False,Potency,True,1
CHEMBL1569524,Dimethoate,mixed,CNC(=O)CSP(=S)(OC)OC,26,10,229.26,0.98,47.56,5,1,0,5,0,12,4.525,0.2483277404291889,0.3250000000000002,4,False,medio,0.0,derivado de pchembl >= 6 (no independiente),True,Inhibition|LC50|Potency,True,0
CHEMBL15768,CID_2537,Herbicides,CC12CCC(CC1=O)C2(C)C,61,27,152.24,2.4,17.07,1,0,0,0,0,11,5.45,1.0392635283308471,2.000000000000001,14,True,alto,0.0714285714285714,derivado de pchembl >= 6 (no independiente),True,EC50|ED50|IC50|Inhibition|Ki|LC50|LD50|MIC|Potency,True,1
CHEMBL15972,CID_240,Herbicides,O=Cc1ccccc1,19,7,106.12,1.5,17.07,1,0,1,1,0,8,6.7,0.8622918721217733,1.21,11,False,alto,0.0,derivado de pchembl >= 6 (no independiente),False,IC50|Inhibition|Potency,True,1
CHEMBL16081,CID_178,Azole_fungicides,CC(N)=O,18,10,59.07,-0.51,43.09,1,1,0,0,0,4,8.25,1.635181947062773,0.8600000000000012,5,True,medio,0.8,derivado de pchembl >= 6 (no independiente),False,Inhibition|Potency,True,1
CHEMBL1686,CID_51,Triazines,O=C(O)CCC(=O)C(=O)O,84,65,146.1,-0.5,91.67,3,2,0,4,0,10,5.4,1.0389787885596715,0.96,13,True,alto,0.3076923076923077,derivado de pchembl >= 6 (no independiente),False,EC50|IC50|Inhibition|Kd|Ki|Potency,True,1
CHEMBL1772,CID_127,Triazines,O=C(O)Cc1ccc(O)cc1,14,2,152.15,1.02,57.53,2,2,1,2,0,11,5.35,0.4810628114616932,0.7874999999999996,8,False,medio,0.125,derivado de pchembl >= 6 (no independiente),False,Inhibition|Ki,True,1
CHEMBL24231,CID_378,Organophosphates,O=[N+]([O-])c1ccc(OP(=O)(O)O)cc1,6,0,219.09,1.07,109.9,4,2,1,3,0,14,5.75,0.686138955800257,0.8350000000000009,6,False,medio,0.3333333333333333,derivado de pchembl >= 6 (no independiente),False,IC50,True,0
